rule_id,count,message,classification,priority,log_entry
1:2206021306:1,60,Sectrio - Scanning Chlopadver,Attempted Information Leak,2,05/02/2024-13:20:29.989978  [**] [1:2206021306:1] Sectrio - Scanning Chlopadver [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 184.105.247.236:47482 -> 121.244.84.46:443
1:2206020703:1,2302,Sectrio-Possible Initialization for Dos Attack using NTP Protocol,Attempted Information Leak,2,05/02/2024-13:31:33.971087  [**] [1:2206020703:1] Sectrio-Possible Initialization for Dos Attack using NTP Protocol [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 91.209.71.232:25563 -> 121.244.84.46:123
1:2406121001:1,313,Sectrio - SCIENTIA SSDB FTP Potential Risky Traffic Detected,Detection of a non-standard protocol or event,2,05/02/2024-14:42:22.287888  [**] [1:2406121001:1] Sectrio - SCIENTIA SSDB FTP Potential Risky Traffic Detected [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {TCP} 104.156.155.36:56669 -> 121.244.84.46:2121
1:2408291303:1,3309,Sectrio - Vulnerable SNMP Protocal Version Detected ,Detection of a non-standard protocol or event,2,05/02/2024-14:40:52.932944  [**] [1:2408291303:1] Sectrio - Vulnerable SNMP Protocal Version Detected  [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {UDP} 198.235.24.181:56541 -> 121.244.84.46:161
1:2405090904:1,58,Sectrio - Validation of sequence numbers or verify the freshness of requests.,Generic Protocol Command Decode,3,05/02/2024-15:11:42.303975  [**] [1:2405090904:1] Sectrio - Validation of sequence numbers or verify the freshness of requests. [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 206.168.34.169:3996 -> 121.244.84.46:5094
1:2206020701:1,123,Suspicious NAT-PMP External Address Request,(null),3,05/02/2024-15:38:50.058215  [**] [1:2206020701:1] Suspicious NAT-PMP External Address Request [**] [Classification: (null)] [Priority: 3] {UDP} 205.210.31.9:50564 -> 121.244.84.46:5351
1:2304190202:1,232,Sectrio - Digi ADDP Version and Reboot Metasploit...,Executable code was detected,1,05/02/2024-18:11:12.506974  [**] [1:2304190202:1] Sectrio - Digi ADDP Version and Reboot Metasploit... [**] [Classification: Executable code was detected] [Priority: 1] {UDP} 192.241.208.66:56867 -> 121.244.84.46:2362
1:2206021307:1,158,Sectrio - CLDAP Search Request,Attempted Information Leak,2,05/02/2024-20:21:52.492753  [**] [1:2206021307:1] Sectrio - CLDAP Search Request [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 103.88.234.63:54429 -> 121.244.84.46:389
1:2304210231:1,111,Sectrio - Moxa Credentails Recovery Metasploit attack.,Attempted Administrator Privilege Gain,1,05/02/2024-20:25:30.168405  [**] [1:2304210231:1] Sectrio - Moxa Credentails Recovery Metasploit attack. [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {UDP} 35.203.210.105:56741 -> 121.244.84.46:4802
1:2304210232:1,111,Sectrio - Moxa Discovery Metasploit attack.,Attempted Information Leak,2,05/02/2024-20:25:30.168405  [**] [1:2304210232:1] Sectrio - Moxa Discovery Metasploit attack. [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 35.203.210.105:56741 -> 121.244.84.46:4802
1:2206021601:1,53,Sectrio - Possible recon using SNMP getRequest operation.,Attempted Information Leak,2,05/02/2024-18:56:27.354226  [**] [1:2206021601:1] Sectrio - Possible recon using SNMP getRequest operation. [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 43.157.63.14:44002 -> 121.244.84.46:161
1:2206091401:1,98,Sectrio - SIP Request from suspicious User,Attempted Information Leak,2,05/02/2024-20:01:47.479780  [**] [1:2206091401:1] Sectrio - SIP Request from suspicious User [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 198.235.24.58:56747 -> 121.244.84.46:5060
1:2206070701:1,222,Sectrio-Possible Recon using portmap Dump Call command,Detection of a Network Scan,3,05/02/2024-19:50:17.059614  [**] [1:2206070701:1] Sectrio-Possible Recon using portmap Dump Call command [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 167.94.138.155:7005 -> 121.244.84.46:111
1:2206021301:1,450,Sectrio - Possible Tsource Engine Query DDoS Attack,Attempted Denial of Service,2,05/02/2024-19:46:53.181425  [**] [1:2206021301:1] Sectrio - Possible Tsource Engine Query DDoS Attack [**] [Classification: Attempted Denial of Service] [Priority: 2] {UDP} 172.104.89.104:36544 -> 121.244.84.46:19132
1:1111705:1,211,BACnet Read Property Attempt From Non Authorized Host,(null),1,05/02/2024-20:18:08.451228  [**] [1:1111705:1] BACnet Read Property Attempt From Non Authorized Host [**] [Classification: (null)] [Priority: 1] {UDP} 64.62.197.84:39200 -> 121.244.84.46:47808
1:2405090902:1,187,Sectrio - Detected BACnet protocol reconnaissance targeting object identifiers,Attempted Information Leak,2,05/02/2024-20:18:08.451228  [**] [1:2405090902:1] Sectrio - Detected BACnet protocol reconnaissance targeting object identifiers [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 64.62.197.84:39200 -> 121.244.84.46:47808
1:1111704:1,211,BACnet Read Property Attempt,(null),3,05/02/2024-20:18:08.451228  [**] [1:1111704:1] BACnet Read Property Attempt [**] [Classification: (null)] [Priority: 3] {UDP} 64.62.197.84:39200 -> 121.244.84.46:47808
1:2206081102:1,345,Sectrio - Possible resource discovery using CoAP well-known URI,Attempted Administrator Privilege Gain,1,05/02/2024-22:28:13.794043  [**] [1:2206081102:1] Sectrio - Possible resource discovery using CoAP well-known URI [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {UDP} 64.62.156.119:57768 -> 121.244.84.46:5683
1:2206291403:1,398,SS_SCADA_CoAP GET Request,Generic Protocol Command Decode,3,05/02/2024-22:28:13.794043  [**] [1:2206291403:1] SS_SCADA_CoAP GET Request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 64.62.156.119:57768 -> 121.244.84.46:5683
1:2405090903:1,286,Sectrio - Detected a crafted CoAP request within OT protocols,Generic Protocol Command Decode,3,05/02/2024-22:28:13.794043  [**] [1:2405090903:1] Sectrio - Detected a crafted CoAP request within OT protocols [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 64.62.156.119:57768 -> 121.244.84.46:5683
1:2206021401:1,54,Sectrio - EtherCat Broadcast Read Command,Attempted Information Leak,2,05/02/2024-21:03:39.646446  [**] [1:2206021401:1] Sectrio - EtherCat Broadcast Read Command [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 64.62.197.40:12092 -> 121.244.84.46:34980
1:2206101401:1,1151,Sectrio - Possible RDP Discovery Scanning,Attempted Information Leak,2,05/02/2024-23:33:44.860971  [**] [1:2206101401:1] Sectrio - Possible RDP Discovery Scanning [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 45.227.254.49:65232 -> 121.244.84.46:5060
1:1111404:1,63,OMRON FINS UDP Read Controller Attempt,(null),1,05/02/2024-22:42:57.691995  [**] [1:1111404:1] OMRON FINS UDP Read Controller Attempt [**] [Classification: (null)] [Priority: 1] {UDP} 65.49.1.14:19519 -> 121.244.84.46:9600
1:1111402:1,63,OMRON FINS UDP Read Controller Attempt,(null),3,05/02/2024-22:42:57.691995  [**] [1:1111402:1] OMRON FINS UDP Read Controller Attempt [**] [Classification: (null)] [Priority: 3] {UDP} 65.49.1.14:19519 -> 121.244.84.46:9600
1:2110211528:1,63,SS_SCADA_FINS CPU Data Read,(null),3,05/02/2024-22:42:57.691995  [**] [1:2110211528:1] SS_SCADA_FINS CPU Data Read [**] [Classification: (null)] [Priority: 3] {UDP} 65.49.1.14:19519 -> 121.244.84.46:9600
1:2405090905:1,63,"Sectrio - OMRON Data read allows unauthorized access to process information (techniques, parameters, schedules).",Generic Protocol Command Decode,3,"05/02/2024-22:42:57.691995  [**] [1:2405090905:1] Sectrio - OMRON Data read allows unauthorized access to process information (techniques, parameters, schedules). [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 65.49.1.14:19519 -> 121.244.84.46:9600"
1:2405300906:1,99,Sectrio - Observed suspicious file read requests from external IPs over TFTP.,Generic Protocol Command Decode,3,05/02/2024-23:20:21.236414  [**] [1:2405300906:1] Sectrio - Observed suspicious file read requests from external IPs over TFTP. [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 205.210.31.67:50407 -> 121.244.84.46:69
1:2206071402:1,100,Sectrio - Possible Command Execution on The DB2 Discovery Service,Attempted Information Leak,2,05/03/2024-02:40:08.961727  [**] [1:2206071402:1] Sectrio - Possible Command Execution on The DB2 Discovery Service [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 65.49.1.99:4672 -> 121.244.84.46:523
1:2405090906:1,61,Sectrio - Observed suspicious file read requests from external IPs over TFTP.,Generic Protocol Command Decode,3,05/03/2024-01:17:48.339011  [**] [1:2405090906:1] Sectrio - Observed suspicious file read requests from external IPs over TFTP. [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 64.62.197.203:13325 -> 121.244.84.46:69
1:2206291401:1,78,SS_SCADA_ENIP List Identity Request,Generic Protocol Command Decode,3,05/03/2024-03:00:30.795858  [**] [1:2206291401:1] SS_SCADA_ENIP List Identity Request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {UDP} 205.210.31.81:54706 -> 121.244.84.46:44818
1:2206061307:1,20,Sectrio - Possible Suspicious GTP - Echo Request,Misc activity,3,05/03/2024-09:53:34.908329  [**] [1:2206061307:1] Sectrio - Possible Suspicious GTP - Echo Request [**] [Classification: Misc activity] [Priority: 3] {UDP} 175.30.48.140:46895 -> 121.244.84.46:2152
1:2404180302:1,168,Sectrio - Private or special IP range communicating with public IP,(null),3,05/03/2024-12:02:34.417456  [**] [1:2404180302:1] Sectrio - Private or special IP range communicating with public IP [**] [Classification: (null)] [Priority: 3] {TCP} 10.1.100.10:11620 -> 121.244.84.46:23
1:2206061305:1,25,Sectrio - Possible Suspicious DTLS Handshake,Misc activity,3,05/04/2024-22:09:37.706712  [**] [1:2206061305:1] Sectrio - Possible Suspicious DTLS Handshake [**] [Classification: Misc activity] [Priority: 3] {UDP} 223.113.128.133:40529 -> 121.244.84.46:443
1:1111518:1,14,UDP EtherNet/IP Request Identity Attempt Via Redpoint Nmap NSE,(null),3,05/05/2024-18:17:16.261918  [**] [1:1111518:1] UDP EtherNet/IP Request Identity Attempt Via Redpoint Nmap NSE [**] [Classification: (null)] [Priority: 3] {UDP} 165.154.172.88:43768 -> 121.244.84.46:44818
1:2405150202:1,1,Sectrio - SSDP Leaking service version informations leading to potential successful recon,Attempted Information Leak,2,05/06/2024-06:30:19.651165  [**] [1:2405150202:1] Sectrio - SSDP Leaking service version informations leading to potential successful recon [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 47.236.255.205:51957 -> 121.244.84.46:1900
1:2405090909:1,3,Sectrio - Detected BACnet protocol reconnaissance targeting vendor names,Attempted Information Leak,2,05/06/2024-06:10:16.416802  [**] [1:2405090909:1] Sectrio - Detected BACnet protocol reconnaissance targeting vendor names [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 47.236.255.205:51957 -> 121.244.84.46:47808
1:2405220304:1,1,Sectrio - SSH connection from Private IP to Public IP detected,(null),3,05/06/2024-06:00:27.346301  [**] [1:2405220304:1] Sectrio - SSH connection from Private IP to Public IP detected [**] [Classification: (null)] [Priority: 3] {TCP} 10.1.100.10:54580 -> 121.244.84.46:22
1:2405200905:1,34,Sectrio - CVE_2023-33246_Apache RocketMQ update config RCE,Web Application Attack,1,05/06/2024-19:33:36.781034  [**] [1:2405200905:1] Sectrio - CVE_2023-33246_Apache RocketMQ update config RCE [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 101.36.117.15:42282 -> 121.244.84.46:2000
1:2304210201:1,11,Sectrio - KOYO Login Metasploit attack.,Executable code was detected,1,05/07/2024-08:09:59.672081  [**] [1:2304210201:1] Sectrio - KOYO Login Metasploit attack. [**] [Classification: Executable code was detected] [Priority: 1] {UDP} 43.129.57.32:58699 -> 121.244.84.46:28784
1:2405230301:1,37986,Sectrio: TLS version 1.2 detected,Detection of a non-standard protocol or event,2,05/07/2024-09:51:34.835900  [**] [1:2405230301:1] Sectrio: TLS version 1.2 detected [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {TCP} 121.244.84.46:443 -> 202.122.17.2:41587
1:2405160904:1,7672,"Sectrio - A botnet tried connecting to a power meter device on port 80, then was redirected to HTTPS (port 443) with a 307 status code after sending an HTTP GET request.",Potential Corporate Privacy Violation,1,"05/07/2024-11:34:42.503131  [**] [1:2405160904:1] Sectrio - A botnet tried connecting to a power meter device on port 80, then was redirected to HTTPS (port 443) with a 307 status code after sending an HTTP GET request. [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 149.50.103.48:58884 -> 121.244.84.46:80"
1:2405160901:1,3565,"Sectrio - Probing for a vulnerability to gain shell access post-login, aiming to download and execute a malware file on the device.",Attempted User Privilege Gain,1,"05/07/2024-16:30:05.075415  [**] [1:2405160901:1] Sectrio - Probing for a vulnerability to gain shell access post-login, aiming to download and execute a malware file on the device. [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 159.203.138.107:54842 -> 121.244.84.46:80"
1:2206021101:2,6,Sectrio - Possibe BACnet-APDU Read Property Attempt,Attempted Information Leak,1,05/07/2024-04:23:36.839470  [**] [1:2206021101:2] Sectrio - Possibe BACnet-APDU Read Property Attempt [**] [Classification: Attempted Information Leak] [Priority: 1] {UDP} 206.168.34.169:7794 -> 121.244.84.46:47808
1:1111207:1,917,DNP3 - Unauthorized Write Request to a PLC,Potentially Bad Traffic,1,05/07/2024-12:23:32.798395  [**] [1:1111207:1] DNP3 - Unauthorized Write Request to a PLC [**] [Classification: Potentially Bad Traffic] [Priority: 1] {TCP} 64.62.197.167:50814 -> 121.244.84.46:20000
1:2201041102:1,1495,SS_SCADA_DNP3 Direct Operate Command,(null),3,05/07/2024-12:23:32.798395  [**] [1:2201041102:1] SS_SCADA_DNP3 Direct Operate Command [**] [Classification: (null)] [Priority: 3] {TCP} 64.62.197.167:50814 -> 121.244.84.46:20000
1:2201051102:2,918,Sectrio-SCADA DNP3 Direct Operate Command Direct Operate Command,(null),3,05/07/2024-12:23:32.798395  [**] [1:2201051102:2] Sectrio-SCADA DNP3 Direct Operate Command Direct Operate Command [**] [Classification: (null)] [Priority: 3] {TCP} 64.62.197.167:50814 -> 121.244.84.46:20000
1:2206290701:1,918,SS_SCADA_DNP3 Request Link Status,Generic Protocol Command Decode,3,05/07/2024-12:23:32.798395  [**] [1:2206290701:1] SS_SCADA_DNP3 Request Link Status [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 64.62.197.167:50814 -> 121.244.84.46:20000
1:2406100904:1,918,Sectrio - DNP3 service control field,Generic Protocol Command Decode,3,05/07/2024-12:23:32.798395  [**] [1:2406100904:1] Sectrio - DNP3 service control field [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 64.62.197.167:50814 -> 121.244.84.46:20000
1:2409201301:1,549,Sectrio - Suspicious Modbus TCP oversized packet (> 300 bytes),Generic Protocol Command Decode,3,05/07/2024-12:45:46.851842  [**] [1:2409201301:1] Sectrio - Suspicious Modbus TCP oversized packet (> 300 bytes) [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 167.248.133.38:33220 -> 121.244.84.46:502
1:1111006:1,461,Modbus TCP - Unauthorized Read Request to a PLC,Potentially Bad Traffic,2,05/07/2024-12:45:20.679765  [**] [1:1111006:1] Modbus TCP - Unauthorized Read Request to a PLC [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 167.248.133.38:43472 -> 121.244.84.46:502
1:2405300908:1,414,Sectrio - Modbus TCP - Read Device Identification,Attempted Information Leak,2,05/07/2024-12:45:20.679765  [**] [1:2405300908:1] Sectrio - Modbus TCP - Read Device Identification [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 167.248.133.38:43472 -> 121.244.84.46:502
1:1111004:2,414,Modbus TCP - Read Device Identification,Attempted Information Leak,3,05/07/2024-12:45:20.679765  [**] [1:1111004:2] Modbus TCP - Read Device Identification [**] [Classification: Attempted Information Leak] [Priority: 3] {TCP} 167.248.133.38:43472 -> 121.244.84.46:502
1:1111012:1,339,"Modbus TCP - Incorrect Packet Length, Possible DOS Attack",Detection of a non-standard protocol or event,2,"05/07/2024-12:45:35.679945  [**] [1:1111012:1] Modbus TCP - Incorrect Packet Length, Possible DOS Attack [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {TCP} 167.248.133.38:43472 -> 121.244.84.46:502"
1:2408161301:1,481,Sectrio - CVE-2023-1389 - Active Exploitation Attempts Against TP-Link Archer Gigabit Internet Routers,Attempted Administrator Privilege Gain,1,05/07/2024-11:30:44.323983  [**] [1:2408161301:1] Sectrio - CVE-2023-1389 - Active Exploitation Attempts Against TP-Link Archer Gigabit Internet Routers [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 183.81.169.139:50402 -> 121.244.84.46:80
1:2205300204:1,895,Sectrio - 400 bad request possible unauthorized login,access to a potentially vulnerable web application,2,05/07/2024-15:13:51.199459  [**] [1:2205300204:1] Sectrio - 400 bad request possible unauthorized login [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 121.244.84.46:80 -> 167.94.145.104:44238
1:1111209:2,37,DNP3 - Stop Application,Detection of a Denial of Service Attack,2,05/07/2024-15:42:04.497293  [**] [1:1111209:2] DNP3 - Stop Application [**] [Classification: Detection of a Denial of Service Attack] [Priority: 2] {TCP} 198.235.24.118:60302 -> 121.244.84.46:20000
1:2206061402:1,371,Sectrio - Detected HTTP POST /boaform/admin/formLogin exploit that target fiber optic routers.,Inappropriate Content was Detected,1,05/07/2024-16:38:41.416282  [**] [1:2206061402:1] Sectrio - Detected HTTP POST /boaform/admin/formLogin exploit that target fiber optic routers. [**] [Classification: Inappropriate Content was Detected] [Priority: 1] {TCP} 159.203.138.107:48830 -> 121.244.84.46:80
1:2406130902:1,30,Sectrio - Remote Command Execution Attempt via Vulnerable TP-Link CGI Endpoint,Attempted Administrator Privilege Gain,1,05/08/2024-07:15:40.260849  [**] [1:2406130902:1] Sectrio - Remote Command Execution Attempt via Vulnerable TP-Link CGI Endpoint [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 195.1.144.109:50840 -> 121.244.84.46:80
1:2405300905:1,289,Sectrio - The POST request executes PHP code through the PHP script eval-stdin.php in the PHP unit testing framework.,Web Application Attack,1,05/08/2024-20:13:30.383914  [**] [1:2405300905:1] Sectrio - The POST request executes PHP code through the PHP script eval-stdin.php in the PHP unit testing framework. [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 83.97.73.245:38222 -> 121.244.84.46:80
1:2407101305:1,62,Sectrio - Potential PHP Xdebug extension source scan,Detection of a Network Scan,3,05/08/2024-20:42:41.964434  [**] [1:2407101305:1] Sectrio - Potential PHP Xdebug extension source scan [**] [Classification: Detection of a Network Scan] [Priority: 3] {TCP} 83.97.73.245:34662 -> 121.244.84.46:80
1:2206301402:1,33,Sectrio-Possible XML External Entity Attack Attempt,A Network Trojan was detected,1,05/08/2024-20:28:01.958152  [**] [1:2206301402:1] Sectrio-Possible XML External Entity Attack Attempt [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 83.97.73.245:59576 -> 121.244.84.46:80
1:2408161302:1,32,Sectrio - CVE-2017-9841: Androghost Malware Injection via PHP Script by POST request,A Network Trojan was detected,1,05/08/2024-20:29:33.342698  [**] [1:2408161302:1] Sectrio - CVE-2017-9841: Androghost Malware Injection via PHP Script by POST request [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 83.97.73.245:38222 -> 121.244.84.46:80
1:2405090901:1,207,Sectrio - Information Leak Attempt via Apache “/ .env,Web Application Attack,1,05/09/2024-01:44:44.774925  [**] [1:2405090901:1] Sectrio - Information Leak Attempt via Apache “/ .env [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 172.191.161.37:51961 -> 121.244.84.46:80
1:2407171302:1,265,Sectrio - Attempting to Access .env File (Sensitive Configuration File),Attempted Information Leak,2,05/09/2024-01:44:45.001856  [**] [1:2407171302:1] Sectrio - Attempting to Access .env File (Sensitive Configuration File) [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 172.191.161.37:51961 -> 121.244.84.46:80
1:2407151301:1,30,Sectrio - Detected potential reconnaissance activity targeting Hudson CI server,Attempted Information Leak,2,05/09/2024-08:50:45.239104  [**] [1:2407151301:1] Sectrio - Detected potential reconnaissance activity targeting Hudson CI server [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.241.215.27:37896 -> 121.244.84.46:80
1:240111101:1,14,Sectrio - Default Crediential Login Attempt,Web Application Attack,1,05/09/2024-09:13:05.446076  [**] [1:240111101:1] Sectrio - Default Crediential Login Attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 84.54.51.13:57322 -> 121.244.84.46:80
1:2406251214:1,13,Sectrio - Command Injection attempt detected to download and execute script,Web Application Attack,1,05/10/2024-11:30:52.236464  [**] [1:2406251214:1] Sectrio - Command Injection attempt detected to download and execute script [**] [Classification: Web Application Attack] [Priority: 1] {UDP} 45.55.134.113:44675 -> 121.244.84.46:53413
1:2406201003:1,30,Sectrio - Apache Solr Administrative Endpoint System Information Gathering Attempt,Attempted Information Leak,2,05/10/2024-13:28:03.929186  [**] [1:2406201003:1] Sectrio - Apache Solr Administrative Endpoint System Information Gathering Attempt [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 157.230.103.49:3890 -> 121.244.84.46:443
1:2406201002:1,30,Sectrio - Apache Solr Administrative Endpoint Access Attempt - solr core Status Query,Attempted Information Leak,2,05/10/2024-13:28:04.778848  [**] [1:2406201002:1] Sectrio - Apache Solr Administrative Endpoint Access Attempt - solr core Status Query [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 157.230.103.49:3914 -> 121.244.84.46:443
1:2407151303:1,70,Sectrio - CVE-2024-36401 - Reconnaissance Activity for GeoServer RCE Vulnerability,Attempted Information Leak,2,05/11/2024-00:08:33.813819  [**] [1:2407151303:1] Sectrio - CVE-2024-36401 - Reconnaissance Activity for GeoServer RCE Vulnerability [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 65.49.1.94:18655 -> 121.244.84.46:80
1:2405300901:1,1804,Sectrio -  Attempting to exploit a vulnerability in the LuCI web interface for OpenWRT routers.,Attempted Administrator Privilege Gain,1,05/12/2024-09:48:53.677390  [**] [1:2405300901:1] Sectrio -  Attempting to exploit a vulnerability in the LuCI web interface for OpenWRT routers. [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 31.220.1.83:35700 -> 121.244.84.46:80
1:2406130903:1,1804,Sectrio - Attempted Remote Command Execution via TP-Link CGI Injection,Attempted Administrator Privilege Gain,1,05/12/2024-09:48:53.677390  [**] [1:2406130903:1] Sectrio - Attempted Remote Command Execution via TP-Link CGI Injection [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 31.220.1.83:35700 -> 121.244.84.46:80
1:2405300902:1,20,Sectrio - The URL exploits a command injection vulnerability in the luci CGI script to download and execute a script from a specified URL.,Web Application Attack,1,05/12/2024-10:00:45.277895  [**] [1:2405300902:1] Sectrio - The URL exploits a command injection vulnerability in the luci CGI script to download and execute a script from a specified URL. [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 183.81.169.139:54858 -> 121.244.84.46:80
1:2407041309:1,7,Sectrio - Path traversal and command execution attempt via POST request,Web Application Attack,1,05/12/2024-12:33:08.166053  [**] [1:2407041309:1] Sectrio - Path traversal and command execution attempt via POST request [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 101.126.88.14:60726 -> 121.244.84.46:80
1:2409241301:1,309,Sectrio - CVE-2017-9841: Potential Recon for Remote Code Execution via PHPUnit eval-stdin.php,Attempted Administrator Privilege Gain,1,05/12/2024-12:25:34.516200  [**] [1:2409241301:1] Sectrio - CVE-2017-9841: Potential Recon for Remote Code Execution via PHPUnit eval-stdin.php [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 83.97.73.245:49812 -> 121.244.84.46:80
1:2407101302:1,298,Sectrio -Suspicious access to Solr admin endpoints,Attempted Information Leak,2,05/12/2024-12:29:29.241098  [**] [1:2407101302:1] Sectrio -Suspicious access to Solr admin endpoints [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 83.97.73.245:39464 -> 121.244.84.46:80
